,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
325,63039,BEURIERES,Ambert Livradois Forez,AMBERT,6,0,0,0,0,0,6,0,2020,6302
326,63069,LE CENDRE,Clermont Auvergne Métropole,COURNON-D'AUVERGNE,105,78,27,11,31,63,55,50,2020,6316
327,63087,LA CHAPELLE-MARCOUSSE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
328,63130,LA CROUZILLE,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,10,6,0,0,0,0,6,0,2020,6326
329,63136,DOMAIZE,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,9,0,0,0,0,0,7,0,2020,6322
330,63152,ESPINASSE,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,8,0,0,0,0,0,0,0,2020,6326
331,63163,GELLES,Dômes Sancy Artense,ORCINES,40,28,12,0,10,27,32,8,2020,6323
332,63430,THIERS,Thiers Dore et Montagne,THIERS,344,254,90,61,78,205,178,166,2020,6330
333,63227,MIREFLEURS,Mond'Arverne Communauté,VIC-LE-COMTE,28,24,0,0,9,17,13,15,2020,6331
334,63057,LE BRUGERON,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,13,9,0,0,0,7,6,7,2020,6322
335,63145,EGLISENEUVE-DES-LIARDS,Agglo Pays d'Issoire,BRASSAC-LES-MINES,6,0,0,0,0,0,0,0,2020,6306
336,63033,BEAUMONT-LES-RANDAN,Plaine Limagne,MARINGUES,0,0,0,0,0,0,0,0,2020,6320
337,63198,LOUBEYRAT,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,18,15,0,0,9,7,10,8,2020,6327
338,63382,SAINT-PARDOUX,Combrailles Sioule et Morge,SAINT-GEORGES-DE-MONS,8,0,0,0,0,6,8,0,2020,6327
339,63304,ROCHE-D'AGOUX,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,0,0,0,0,0,0,0,0,2020,6326
340,63428,TEILHET,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,9,7,0,0,0,0,6,0,2020,6326
341,63283,PONTAUMUR,Chavanon Combrailles et Volcans,SAINT-OURS,21,14,7,0,8,9,12,9,2020,6328
